Product Name,Price,Original Prices,Discount rates
Flipkart Perfect Homes Paradiso Engineered Wood TV Ente...,"12,790","20,999",39% off
Princeware Maria Trolley Plastic Kitchen Trolley,407,437,6% off
Royaldeals active PP (Polypropylene) Collapsible Wardro...,"1,349","2,022",33% off
Flipkart Perfect Homes Studio 2 Door 6 Shelf PP Collaps...,"1,599","3,699",56% off
Flipkart Perfect Homes Rhea 4 inch Single PU Foam Mattr...,"3,334","6,699",50% off
DNS Metal Shoe Rack,"9,399","9,500",1% off
Sasimo 1-Door 9-Shelf Fabric Metal Collapsible Shoe Sta...,"1,249","5,999",79% off
Spacewood Engineered Wood Queen Hydraulic Bed,"21,890","33,988",35% off
NapCloud SmartNap 4 inch King High Resilience (HR) Foam...,"9,749","12,999",25% off
Joyo Square PP (Polypropylene) Kitchen Trolley,905,"1,129",19% off
Mezire PP Collapsible Wardrobe,"1,699","1,999",15% off
Flipkart Perfect Homes Luzon Metal 4 Seater Dining Set,"14,290","15,499",7% off
Flipkart Perfect Homes Kalypso Engineered Wood TV Enter...,"11,790","20,999",43% off
NAKODA Plastic Free Standing Chest of Drawers,"1,249","1,964",36% off
NapCloud ZipNap 6 inch Double Memory Foam Mattress,"11,249","14,999",25% off
Cello Orchid Plastic Coffee Table,879,945,6% off
Slim Shine Solid Wood Study Table,799,"1,399",42% off
BSBDA Cotton Swing Jhula For Kids Cotton Swing,449,999,55% off
NapCloud ZipNap 6 inch Single Memory Foam Mattress,"10,499","13,999",25% off
FurnCentral Metal Shoe Stand,684,999,31% off
NAKODA Plastic Free Standing Chest of Drawers,"1,249","1,964",36% off
FurnCentral Metal Kitchen Cabinet,"1,579","2,999",47% off
Woodness Engineered Wood Shoe Rack,"4,190","12,400",66% off
Spacewood Engineered Wood King Hydraulic Bed,"24,890","45,723",45% off
NapCloud ZipNap Plus 8 inch Queen Memory Foam Mattress,"14,624","19,499",25% off
Nilkamal Freedom Mini Large (FML) Plastic Free Standing...,"6,390","7,130",10% off
FurnCentral Fabric Shoe Stand,"1,499","1,999",25% off
Raj SmartBuy 4 Tiers Metal Shoe Stand,420,"1,699",75% off
NapCloud ZipNap 6 inch King Memory Foam Mattress,"14,999","19,999",25% off
Flipkart Perfect Homes Carol Queen Bed,"9,490","13,999",32% off
