Product Name,Price,Original Prices,Discount rates
Eat Soya SOYA NUTS SALTED AND ROASTED SOYABEAN SALTED,200,NaN,Nan
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off
KLF Nirmal Cold Pressed Virgin Coconut Oil Glass Bottle,375,390,3% off
MuscleBlaze High Protein Natural Peanut Butter 750 g,349,499,30% off
Sonal Dry fruit Premium Cashews Cashews,299,360,16% off
axium axs154,499,947,47% off
Rajdhani Unpolished Chana Dal (Split),112,150,25% off
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off
Jaiccha Namkeen Snacks-Mini Katli Namkeen 400 gms in Br...,345,399,13% off
Saffola Oats,170,199,14% off
zenulife Premium Quality Organic Green Coffee Beans Pow...,232,796,70% off
Balance Gourment Dalchini Cinnamon Flavored Green Coffe...,649,"1,000",35% off
Ceedberri Chia Seeds,205,400,48% off
Eighty7 California Almonds,594,747,20% off
hathmic JERI1000 Coconut Oil Jar,577,890,35% off
FARMUP Ginger Powder,299,499,40% off
Wonderland Foods Hand Picked Kashmiri Walnut Walnuts,449,699,35% off
Yogabar Wholegrain Breakfast Muesli+ - Dark Chocolate +...,260,299,13% off
"organic forest Chia Seeds, 250gm Premium Quality , For ...",302,324,6% off
Happilo Californian Premium Sweet Dried Whole Cranberri...,266,295,9% off
Borges Extra Virgin Olive Oil Plastic Bottle,678,"1,400",51% off
Tang Orange Instant Drink Mix,182,210,13% off
Kellogg's Oats,185,NaN,Nan
"Tang Lemon Instant Drink Mix, 500g(Each)",257,270,4% off
FARMUP Yellow Soya Bean (Whole),240,250,4% off
Nestle Nan Excella Pro Infant Formula Powder (Stage 1),730,NaN,Nan
Ghasitaram Gifts Sundried Papaya 400 gms Papaya,451,499,9% off
Tang Mango Instant Drink Mix,199,210,5% off
Nestle Nan Excella Pro Follow-up Formula-powder (Stage ...,720,NaN,Nan
Haldiram's Bhujia Sev,210,NaN,Nan
Eat Soya Soya Nuts Salted 200gm (Pack of 3),290,300,3% off
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off
Natturano Premium Organic Cold Pressed Coconut Oil Plas...,449,NaN,Nan
D NATURE FRESH Almond_Raw_P500 Almonds,459,725,36% off
Pintola All Natural Honey Peanut Butter (Crunchy) 1 kg,412,449,8% off
Mahakosh Refined Soyabean Oil Pouch,116,133,12% off
SUN'A'DO Dried Blueberries 150g Blueberry,533,549,2% off
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off
Disano Extra Virgin Olive Oil Plastic Bottle,220,275,20% off
Horlicks Classic Malt Health Drink,241,242,Nan
"Organic Forest Raw Seeds Combo Chia, Pumpkin, Sunflower...",650,728,10% off
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off
froods Premium Quality Almonds Almonds,549,899,38% off
Bliss of Earth 2x1KG Authentic Pakistani Fine Powdered ...,465,750,38% off
Delight Nuts Dried Cranberries Sliced- 200gm (Pack of 2...,581,598,2% off
Organic India Tulsi Green Tea Lemon Ginger 25 Tea Bags-...,348,NaN,Nan
Ghasitaram Gifts Sundried Pineapple 200 gms Pineapple,280,299,6% off
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off
Cadbury Dairy Milk Silk Bubbly Chocolate Bar (50 gmX4) ...,499,NaN,Nan
Natturano Premium Organic Cold Pressed Safflower Oil Pl...,399,NaN,Nan
Nescafe Red Travel Kit Instant Coffee,584,649,10% off
Balance Gourment Dalchini Cinnamon Flavored Green Coffe...,649,"1,000",35% off
MYFITNESS Crunchy Natural Peanut Butter Unsweetened 100...,389,499,22% off
Ghasitaram Gifts sweets-Strawberry Katli 800 gms Box,"1,199","1,451",17% off
Biotrex Nutraceuticals With Honey and Mother Vinegar,349,600,41% off
Eat Soya SOYA NUTS MASALA AND MAGIC PUDINA 200g (PACK O...,200,NaN,Nan
Rostaa Dried Prunes Prunes,240,260,7% off
Herbalvibe Green Coffee Beans Powder for Weight Loss Ma...,598,"1,650",63% off
Delight Nuts Berries Mix 200g Assorted Fruit,387,399,3% off
Oreo Original Chocolatey Sandwich Biscuits,30,NaN,Nan
Nescafe Ultimate Kit Instant Coffee,644,699,7% off
Tang Orange Instant Drink Mix,182,210,13% off
Bel Normande Sparkling Red Grape Juice,465,NaN,Nan
"Nutty Gritties Jumbo Roasted Pistachios, Lightly Salted...",349,420,16% off
Complan Kesar Badam,299,315,5% off
NAGO Natural Goodness Unpolished Yellow Chana Dal (Spli...,180,200,10% off
Delight Nuts California Almonds - 200gm ( Pack of 5) Al...,"1,499","1,745",14% off
Tang Mango Instant Drink Mix,199,210,5% off
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off
Onlyleaf 100% Natural Calming De-Stress Chamomile Green...,238,250,4% off
Happilo Premium International Nuts and Berries,292,365,20% off
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off
Yogabar Wholegrain Breakfast Muesli+ - Fruits + Seeds &...,521,598,12% off
FARMUP Unpolished Yellow Toor Dal (Whole),250,399,37% off
Enfamil A Plus Stage 1 Infant Formula,715,NaN,Nan
Ghasitaram Gifts Roasted Dryfruit Laddoo Box,539,599,10% off
"TGL Co. Lemon Detox Green Tea, 16 Tea Bags Lemon Green ...",314,349,10% off
NutrineLife With the Mother Vinegar,499,899,44% off
NutroActive Himalayan Pink Salt Rock Salt Fine Grain (0...,449,999,55% off
"TGL Co. Kadak Masala Chai Tea Black Tea, 16 Tea Bags Gi...",217,249,12% off
Alpino Peanut Butter Chocolate 2.4 KG (Gluten Free / No...,749,949,21% off
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off
Pintola All Natural Peanut Butter (Creamy) 2.5 kg,902,980,7% off
Mars Assorted Chocolate Gift Pack Tin Box Bars,600,NaN,Nan
"TGL Co. Mogo Mogo Green Tea, 16 Tea Bag Mango, Banana, ...",314,349,10% off
Eat Soya Soya Nuts Maggi Masala - 200g (Pack of 3),289,300,3% off
"Puvi Cold Pressed Gingelly/Sesame Oil (Virgin, Chekku/G...","2,080","2,225",6% off
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off
axium axs155,335,598,43% off
FARMUP FLAX SEEDS,300,499,39% off
TGL Co. Euphoria Instant Coffee Powder | Makes Great Ic...,305,339,10% off
Colavita (Hard Durum Wheat) Farfalle Pasta,285,290,1% off
Kegan Wellness Lavanam Himalayan Pink Salt,199,299,33% off
Neuherbs Organic Green Coffee beans (Unroasted Beans) F...,699,899,22% off
VegeBaby 100%Natural Cold Pressed Extra Virgin Sunflowe...,699,NaN,Nan
Wonderland Roasted Combo Seeds Value Pack,599,"1,015",40% off
Akiva Green Tea Apple Cider Vinegar Vinegar,549,600,8% off
