Product Name,Price,Original Prices,Discount rates
BELLA COTTON BUDS WITH ALOE VERA EXTRACT PLASTIC BOX,127,129,1% off
Huggies Wonder pants - L,"1,231","1,599",23% off
Similac Follow-up Formula (Stage 2),345,NaN,Nan
LuvLap Breast Pads - 24's Pack,134,179,25% off
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off
Everything Imported Best Safe Shampoo Bathing Protect S...,145,300,51% off
Adore Supreme 5Pcs Baby Milk Bottle Nipple Straw Brush ...,249,NaN,Nan
Futaba Adjustable Baby Shower Cap,102,499,79% off
Pampers Active Baby Diapers - New Born,972,999,2% off
Himalaya Gentle Baby Wipes,78,79,1% off
Huggies Dry pants Small - S,97,99,2% off
Johnson's New Cream 100gm (Pack of 2),256,270,5% off
Huggies Dry - L,395,470,15% off
Himalaya Gentle Baby Soap 6N X 75G,242,264,8% off
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off
Croox Baby's BPA-Free Silicone Food Nibbler for Fruit a...,189,399,52% off
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,284,499,43% off
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,448,699,35% off
Pampers Baby-Dry Pants Diaper - M,618,699,11% off
Odomos Naturals Non Sticky Mosquito Repellent Cream,87,92,5% off
"Little Angel Baby Diaper Pants, Extra Large (6 X Pack o...","2,430","4,194",42% off
Dexolac Premium 2 Follow-Up Formula (After 6 Months) Ti...,515,NaN,Nan
Pigeon Peristaltic Nipple 2 Pc L Size Fast Flow Nipple,190,NaN,Nan
Johnson's Baby No More Tears Shampoo 100 ml Baby Boys &...,87,NaN,Nan
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off
Billion Extra Absorb Diaper Pants - M,419,520,19% off
Johnson's Baby No more Tears Shampoo with Hair oil,382,435,12% off
Nestle Nan Excella Pro Follow-up Formula-powder (Stage ...,720,NaN,Nan
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off
Pampers Pant Style Diapers New Born - 62 Pieces - XS,650,699,7% off
"LuvLap Baby 99% Pure Water Wipes, 72 wipes/pack, Pack o...",540,750,28% off
MamyPoko Pants Extra Absorb Diapers - L,"2,379","2,799",15% off
Dabur Amla Kids Nourishing Hair Oil,105,120,12% off
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,448,699,35% off
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off
Pigeon Baby Powder With Fragrance,224,299,25% off
Enfamil A Plus Follow-up Formula Stage 2,715,NaN,Nan
Manzon Girls Casual Dress Panty,379,"1,099",65% off
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off
1st Step Powder Box - Blue,159,NaN,Nan
Chartbusters New Born Baby Cotton Hosiery Padded Premiu...,259,499,48% off
Little's Soft Cleansing Baby Wipes Lid Pack of 4,348,796,56% off
Pampers Premium care Pants Diapers Small Size 21 pc Pac...,284,299,5% off
Johnson's Milk Plus Rice Lotion,94,95,1% off
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off
Sebamed Baby Cream Extra Soft - 200 Ml,627,637,1% off
Pigeon Liquid Cleanser 200 Ml Refill Combo,224,280,20% off
SYGA Premium  - Manual,404,950,57% off
Pampers Active Baby Diapers - New Born,972,999,2% off
Enfamil A Plus Stage 3 Follow-up Formula,479,715,33% off
Mamaearth Nourishing Hair Oil for Babies,269,299,10% off
Huggies Wonder Sumo Pack - S,"2,303","3,199",28% off
Johnson's Milk+ Rice Lotion 200 ml,156,170,8% off
Nestle Cerelac Wheat-Rice Mixed Vegetable Cereal,242,NaN,Nan
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off
LuvLap Birdie Sipper 160ml,241,455,47% off
Chicco Bottle Wellbeing Pink 250Ml Sil Love In - 250 ml,269,NaN,Nan
MOM & SON Cotton Diaper Changing Mat,289,699,58% off
Pampers Baby-Dry Pants Diaper - M,618,699,11% off
Pampers Active Baby Diapers - XL,"1,445","1,499",3% off
Johnson's All Day Long Baby Lotion,85,88,3% off
